HomeTeam,AwayTeam,H,D,A,Prediction
Arsenal,Watford,0.47490504,0.28413722,0.24095775,H
Bournemouth,Crystal Palace,0.20855747,0.2854792,0.5059633,A
Burnley,Leicester,0.5042836,0.2868679,0.20884849,H
Liverpool,Chelsea,0.6653943,0.22190192,0.11270372,H
Middlesbrough,West Brom,0.5932909,0.24206533,0.16464378,H
Sunderland,Tottenham,0.42161614,0.29375225,0.28463158,H
Swansea,Southampton,0.4497411,0.30745444,0.2428044,H
Man United,Hull,0.15986344,0.22399178,0.6161447,A
Stoke,Everton,0.33531225,0.26844925,0.39623857,A
West Ham,Man City,0.29039428,0.2928967,0.4167091,A
Chelsea,Arsenal,0.68851405,0.17572434,0.13576166,H
Crystal Palace,Sunderland,0.78546166,0.14966351,0.06487482,H
Everton,Bournemouth,0.3884178,0.24852824,0.36305395,H
Hull,Liverpool,0.39883345,0.3124184,0.28874817,H
Southampton,West Ham,0.49090487,0.3000867,0.20900837,H
Tottenham,Middlesbrough,0.41540328,0.28441134,0.30018532,H
Watford,Burnley,0.080349095,0.18327712,0.7363738,A
West Brom,Stoke,0.70512897,0.18388994,0.11098103,H
Leicester,Man United,0.5661505,0.24202499,0.19182447,H
Man City,Swansea,0.21824555,0.2747869,0.5069676,A
Arsenal,Hull,0.4782441,0.27318954,0.2485664,H
Liverpool,Tottenham,0.47110862,0.2889019,0.23998956,H
Man United,Watford,0.45768508,0.29388696,0.24842797,H
Middlesbrough,Everton,0.4111873,0.27719715,0.31161556,H
Stoke,Crystal Palace,0.5282655,0.22995932,0.24177523,H
Sunderland,Southampton,0.63506913,0.23603152,0.12889932,H
West Ham,West Brom,0.522922,0.26165065,0.21542734,H
Burnley,Chelsea,0.4145295,0.3002743,0.28519616,H
Swansea,Leicester,0.7681654,0.16851367,0.063320935,H
Bournemouth,Man City,0.20269538,0.2781195,0.5191851,A
Chelsea,Swansea,0.059332356,0.15415291,0.78651476,A
Crystal Palace,Middlesbrough,0.49092796,0.26968023,0.23939179,H
Everton,Sunderland,0.43878764,0.292296,0.26891634,H
Hull,Burnley,0.19831695,0.25640768,0.5452754,A
Watford,West Ham,0.31642205,0.27551275,0.40806517,A
West Brom,Bournemouth,0.2917576,0.2927061,0.41553628,A
Tottenham,Stoke,0.76907957,0.16799115,0.062929176,H
Leicester,Liverpool,0.5269301,0.27889422,0.1941757,H
Leicester,Hull,0.7054314,0.20474976,0.08981885,H
Liverpool,Arsenal,0.34779307,0.30001336,0.3521936,A
Man United,Bournemouth,0.8439949,0.11726277,0.038742337,H
Stoke,Middlesbrough,0.16951571,0.22996628,0.60051805,A
Swansea,Burnley,0.579066,0.22999893,0.19093506,H
Watford,Southampton,0.16555794,0.2394137,0.5950284,A
West Brom,Crystal Palace,0.6400136,0.22280946,0.13717696,H
Sunderland,Man City,0.49682525,0.2898779,0.2132969,H
Tottenham,Everton,0.46232486,0.29710057,0.24057458,H
West Ham,Chelsea,0.47328386,0.28779992,0.23891622,H
Man City,Stoke,0.21200785,0.24670808,0.5412841,A
Bournemouth,West Ham,0.3568908,0.30421796,0.33889124,H
Everton,West Brom,0.49527076,0.27183977,0.2328894,H
Hull,Swansea,0.8791768,0.09699504,0.02382819,H
Liverpool,Burnley,0.38361213,0.29390275,0.32248515,H
Bournemouth,Swansea,0.40635455,0.29222092,0.3014245,H
Crystal Palace,Watford,0.3512948,0.30934662,0.3393586,H
Everton,Hull,0.40990624,0.2915931,0.29850063,H
Stoke,Chelsea,0.5074465,0.28446755,0.2080859,H
Sunderland,Burnley,0.6620091,0.2118513,0.12613957,H
West Brom,Arsenal,0.15023667,0.24722612,0.6025373,A
West Ham,Leicester,0.70653987,0.18809259,0.105367586,H
Man City,Liverpool,0.13272509,0.22151287,0.6457621,A
Middlesbrough,Man United,0.14486068,0.20974752,0.6453918,A
Tottenham,Southampton,0.51777196,0.28111944,0.20110857,H
Burnley,Tottenham,0.4481347,0.2715596,0.2803057,H
Chelsea,Crystal Palace,0.14829299,0.2329394,0.61876756,A
Hull,West Ham,0.8199714,0.13591784,0.04411079,H
Leicester,Stoke,0.5400728,0.2738829,0.18604437,H
Liverpool,Everton,0.37908432,0.29545367,0.32546207,H
Man United,West Brom,0.39879718,0.29501885,0.306184,H
Southampton,Bournemouth,0.08841557,0.18488552,0.7266989,A
Watford,Sunderland,0.756394,0.17335609,0.07024994,H
